Date,Open,High,Low,Close,Volume,Adj Close,EMA5,EMA10,EMA20,EMA60,EMA120
1/20/06,438.7,440.03,394.74,399.46,41116700,399.46,442.836,455.176,442.9555,414.1503333,356.8620833
1/19/06,451.17,453.49,433,436.45,14537300,436.45,455.67,460.354,444.4695,413.3035,355.93125
1/18/06,447.3,457.36,443.25,444.91,20485700,444.91,462.706,461.233,443.877,411.6943333,354.74
1/17/06,463.06,469.9,462.53,467.11,8270300,467.11,467.676,460.265,443.139,409.3325,353.5068333
1/13/06,464.31,466.89,461.61,466.25,7656600,466.25,467.634,455.04,440.911,406.6923333,352.0816667
1/12/06,473.72,474.99,461.5,463.63,10125300,463.63,467.516,450.43,438.5465,403.9761667,350.6616667
1/11/06,471.27,475.11,469.18,471.63,9007400,471.63,465.038,446.736,436.2395,401.3323333,349.3180833
1/10/06,464.42,470.25,462.04,469.76,9097100,469.76,459.76,442.037,433.2885,398.4075,348.004
1/9/06,466.41,473.4,460.94,466.9,12791900,466.9,452.854,438.154,430.2605,395.5355,346.6893333
1/6/06,456.87,470.5,453.24,465.66,17756900,465.66,442.446,434.668,427.448,392.77,345.381
1/5/06,446,451.55,441.5,451.24,10808300,451.24,433.344,430.735,424.376,390.1106667,343.9966667
1/4/06,443.9,448.96,439.75,445.24,15286400,445.24,428.434,428.585,422.041,387.7675,342.74625
1/3/06,422.52,435.67,418.22,435.23,13121200,435.23,424.314,426.521,420.0715,385.5633333,341.5433333
12/30/05,417.27,418.21,413.74,414.86,7587100,414.86,423.454,426.013,419.195,383.522,340.4069167
12/29/05,427.98,428.73,419.17,420.15,6945800,420.15,426.89,426.782,419.1565,381.7861667,339.38125
12/28/05,424.34,427.78,421.26,426.69,7117900,426.69,428.126,426.663,418.3945,379.967,338.3245833
12/27/05,431.86,431.86,422.76,424.64,6702800,424.64,428.736,425.743,417.237,378.1668333,337.2374167
12/23/05,432.15,432.5,428.78,430.93,4595100,430.93,428.728,424.54,417.179,376.3638333,336.1615833
12/22/05,431.77,432.86,425.93,432.04,7546600,432.04,428.572,422.367,417.0635,374.342,334.9998333
12/21/05,433.55,436.86,420.71,426.33,11221900,426.33,426.674,420.228,416.6045,372.2413333,333.86375
12/20/05,427.86,432.2,424.67,429.74,10084700,429.74,425.2,418.017,416.1115,370.3681667,332.7380833
12/19/05,432.2,446.21,420.11,424.6,21936800,424.6,422.75,415.497,415.0925,368.4438333,331.6081667
12/16/05,425.34,432.5,422.75,430.15,16330500,430.15,420.352,413.622,413.873,366.6231667,330.5091667
12/15/05,419.11,423.14,416.5,422.55,6045800,422.55,416.162,412.377,412.538,364.6435,329.44125
12/14/05,417.04,419.73,415.49,418.96,6630400,418.96,413.782,411.531,411.318,362.7993333,328.4541667
12/13/05,412.5,418,411.64,417.49,8157000,417.49,410.834,410.126,410.01,360.9485,327.4399167
12/12/05,414.63,415.21,409.95,412.61,6950100,412.61,408.244,408.731,408.984,359.0535,326.3750833
12/9/05,415,415.78,408.56,409.2,7643400,409.2,406.892,409.818,407.8735,357.18,325.3475
12/8/05,405.3,410.65,402.64,410.65,8910100,410.65,408.592,411.76,406.9685,355.4036667,324.3361667
12/7/05,406.16,406.7,399.01,404.22,11665900,404.22,409.28,412.981,405.3935,353.6095,323.30325
12/6/05,408.7,416.41,401.7,404.54,15114700,404.54,409.418,414.206,404.6775,352.0671667,322.2705833
12/5/05,417,417.5,404.28,405.85,10289400,405.85,409.218,414.688,404.202,350.4871667,321.2114167
12/2/05,416.94,419.53,413.86,417.7,7543500,417.7,412.744,414.124,403.431,348.7078333,320.1193333
12/1/05,409.2,415.44,408.29,414.09,9744900,414.09,414.928,412.699,401.8435,346.6693333,318.9580833
11/30/05,404.26,408.45,395.56,404.91,15596600,404.91,416.682,411.105,400.123,344.6823333,317.8635833
11/29/05,424.46,426.4,402.14,403.54,21495800,403.54,418.994,409.894,398.8465,342.719,316.8435
11/28/05,429.82,431.24,422.44,423.48,11008400,423.48,420.158,409.237,397.2765,340.8008333,315.8665833
11/25/05,425.78,428.75,425.3,428.62,4840100,428.62,415.504,405.929,394.011,338.5136667,314.66725
11/23/05,417.04,424.72,415.78,422.86,10085000,422.86,410.47,402.177,390.233,336.1366667,313.5380833
11/22/05,408.65,417.31,406.23,416.47,9596000,416.47,405.528,397.806,386.862,333.8768333,312.43875
11/21/05,399.17,409.98,393.49,409.36,10335100,409.36,400.794,395.149,383.384,331.7431667,311.3036667
