Date,Open,High,Low,Close,Volume,Adj Close
20070412,464,468,462.24,467.39,2707900,467.39
20070411,466.06,469.4,462.61,464.53,3812000,464.53
20070410,467.09,470.79,465.16,466.5,2979300,466.5
20070409,472.98,473,465.59,468.21,3062100,468.21
20070405,471.3,472.09,469.62,471.51,2715800,471.51
20070404,472.14,473,469.58,471.02,3778800,471.02
20070403,464.05,474.25,464,472.6,6501800,472.6
20070402,457.76,458.53,452.12,458.53,3448500,458.53
20070330,462.1,463.4,456.14,458.16,3380200,458.16
20070329,464.55,466,455,460.92,3988500,460.92
20070328,461.87,465.44,460.15,461.88,4591600,461.88
20070327,463.55,465.23,460.34,463.62,3741200,463.62
20070326,460.55,465,455.62,465,4710300,465
20070323,461.45,463.39,457.08,461.83,4111300,461.83
20070322,455.61,462.17,452.53,462.04,5680700,462.04
20070321,445.3,456.57,445.21,456.55,5798300,456.55
20070320,445.79,447.6,443.6,445.28,3421500,445.28
20070319,443.25,448.5,440.63,447.23,5197700,447.23
20070316,445.65,446.7,439.89,440.85,5659100,440.85
20070315,447.86,449.82,443.94,446.19,3944200,446.19
20070314,443.23,448.66,439,448,8016900,448
20070313,450.11,451.93,442.83,443.03,6377300,443.03
20070312,452.57,455.25,451.11,454.75,3465400,454.75
20070309,458,458.4,450.1,452.96,4977700,452.96
20070308,459.22,465.5,454.1,454.72,5362800,454.72
20070307,462.69,463.14,454.29,455.64,6534100,455.64
20070306,447.47,459,447.38,457.55,7533700,457.55
20070305,437.02,445.5,437,440.95,6355100,440.95
20070302,445.11,448.7,438.68,438.68,6583600,438.68
20070301,442.67,452.42,440,448.23,8685200,448.23
20070228,450.41,453.67,443.04,449.45,8032300,449.45
20070227,455,459.8,447.17,448.77,9312800,448.77
20070226,472.83,475.25,463.75,464.93,3969900,464.93
20070223,475.75,476.95,467.8,470.62,3882600,470.62
20070222,478.69,484.24,474.39,475.85,5743900,475.85
20070221,469.84,478.68,467.74,475.86,5640600,475.86
20070220,468.47,472.75,464.71,472.1,4067600,472.1
20070216,462.8,470.15,462.06,469.94,6177000,469.94
20070215,466,466.13,460.72,461.47,4042400,461.47
20070214,460,469.13,459.22,465.93,5698800,465.93
20070213,459.15,462.78,457.26,459.1,4062600,459.1
20070212,460.68,462.39,455.02,458.29,5754500,458.29
20070209,471.65,472.68,461.5,461.89,4858600,461.89
20070208,468.05,473.75,465.15,471.03,4076700,471.03
20070207,473.82,474.35,468.78,470.01,4119800,470.01
20070206,468.1,473.3,467.26,471.48,5321900,471.48
20070205,477.5,478,466.19,467.16,7206900,467.16
20070202,482.61,485,477.81,481.5,6286500,481.5
20070201,506,506.01,481.53,481.75,15658700,481.75
20070131,496.49,505,495.51,501.5,12206100,501.5
20070130,494,498,491.22,494.32,4180500,494.32
20070129,498,498.75,490.5,492.47,4775700,492.47
20070126,490.93,497.9,487.03,495.84,5496500,495.84
20070125,501,504.5,485.66,488.09,6368500,488.09
20070124,484.45,499.54,483.29,499.07,6059300,499.07
20070123,480.79,484.75,477.29,479.05,4665500,479.05
20070122,492.5,492.65,478.5,480.84,5404300,480.84
20070119,487.98,490.76,486.74,489.75,4978300,489.75
20070118,494.52,496.48,487.43,487.83,5932000,487.83
20070117,503.39,507.77,494.38,497.28,6699100,497.28
20070116,507.55,513,503.3,504.28,7568900,504.28
20070112,501.99,505,500,505,4473700,505
20070111,497.2,501.75,496.18,499.72,7208200,499.72
20070110,484.43,493.55,482.04,489.46,5968500,489.46
20070109,485.45,488.25,481.2,485.5,5381400,485.5
20070108,487.69,489.87,482.2,483.58,4754400,483.58
20070105,482.5,487.5,478.11,487.19,6872100,487.19
20070104,469,483.95,468.35,483.26,7887600,483.26
20070103,466,476.66,461.11,467.59,7706500,467.59
20061229,462.1,464.47,459.86,460.48,2559200,460.48
20061228,467.12,468.58,462.25,462.56,3116200,462.56
20061227,460,468.08,459.1,468.03,4231500,468.03
20061226,456.52,459.47,454.59,457.53,2074300,457.53
20061222,457.5,458.64,452.73,455.58,3988300,455.58
20061221,464.18,465.25,452.34,456.2,6953300,456.2
20061220,470,471.5,462.33,462.9,4367800,462.9
20061219,461.72,469.31,458.5,468.63,6587000,468.63
20061218,482.51,482.74,460.72,462.8,8016600,462.8
20061215,482.64,484.11,479.84,480.3,5190800,480.3
20061214,480.25,483.75,477.26,482.12,4748900,482.12
20061213,484.69,485.5,477.02,478.99,4662100,478.99
20061212,483.85,486.36,480.28,481.78,4181000,481.78
20061211,484.92,488.9,483.8,483.93,3263400,483.93
20061208,481.94,488.6,480,484.11,3974900,484.11
20061207,490.23,491.8,482.42,482.64,4664300,482.64
20061206,486.96,492.4,484.52,488.71,4450300,488.71
20061205,487.4,489.44,484.89,487,4103000,487
20061204,483,487.43,479.35,484.85,4899900,484.85
20061201,485.98,488.39,478.5,480.8,5631400,480.8
20061130,484.19,490.4,481.55,484.81,5577500,484.81
20061129,494.24,494.74,482.25,484.65,6315300,484.65
20061128,481.13,489.86,477.03,489.5,7797600,489.5
20061127,501.37,501.78,484.75,484.75,7324700,484.75
20061124,504.5,507.5,504,505,1732700,505
20061122,510.97,513,505.78,508.01,4500700,508.01
20061121,496.54,510,495.83,509.65,8427500,509.65
20061120,498.4,498.4,492.65,495.05,5124500,495.05
20061117,493.25,499.66,493,498.79,5511000,498.79
20061116,495,497.68,492.56,495.9,5092600,495.9
20061115,493.43,499.85,491.93,491.93,8370700,491.93
20061114,480.7,489.95,480.5,489.3,7223400,489.3
20061113,474.9,481.17,474.14,481.03,4341900,481.03
20061110,473.78,474.72,470.29,473.55,2796700,473.55
20061109,476.5,479.49,471.86,472.63,4879200,472.63
20061108,470.35,481.74,468.6,475,7965000,475
20061107,476.95,479.02,471.77,472.57,4897100,472.57
20061106,473.77,479.66,472.33,476.95,4991500,476.95
